obs,saison,mois,jour_mois,jour_semaine,horaire,jour_travail,vacances,meteo,velos,humidite,vent,temperature1,temperature2
76,1,1,16,1,1,1,1,1,97,57.86,11.04,3.95,2
77,1,1,16,1,2,1,1,1,132,53.25,30.18,2.57,-2
78,1,1,16,1,3,1,1,1,406,39,29.37,3.99,-0.5
79,1,1,16,1,4,1,1,1,384,38.25,24.14,2.81,-1.25
80,1,1,16,1,5,1,1,1,185,46.8,15.13,0.84,-2.4
81,1,1,17,2,1,1,2,2,52,43.71,20.92,0.73,-3.57
82,1,1,17,2,2,1,2,2,150,48.5,22.53,-0.48,-5.5
83,1,1,17,2,3,1,2,2,323,48,15.29,0.22,-3.5
84,1,1,17,2,4,1,2,2,338,50,20.92,1.17,-3
85,1,1,17,2,5,1,2,3,137,79.6,24.14,-0.48,-6.2
86,1,1,18,3,3,2,1,2,53,84,25.75,1.71,-2.67
87,1,1,18,3,4,2,1,2,354,84,19.31,2.34,-1
88,1,1,18,3,5,2,1,2,276,89.2,7.08,2.34,0.8
89,1,1,19,4,1,2,1,3,54,93,10.46,2.34,0.17
90,1,1,19,4,2,2,1,2,443,92.75,12.07,3.51,1.25
91,1,1,19,4,3,2,1,2,275,72,19.31,8.21,7.75
92,1,1,19,4,4,2,1,1,544,57.5,34.6,9.39,8
93,1,1,19,4,5,2,1,1,334,51.8,37.98,6.66,3.2
94,1,1,20,5,1,2,1,1,63,57.14,17.93,3.82,0.29
95,1,1,20,5,2,2,1,1,550,52.5,27.76,3.04,-1.5
96,1,1,20,5,3,2,1,2,331,44.25,10.86,5.63,3.75
97,1,1,20,5,4,2,1,2,561,49.75,16.9,5.86,3.75
98,1,1,20,5,5,2,1,2,422,61.2,31.87,3.66,-1.2
99,1,1,21,6,1,2,1,2,63,71,26.67,2.88,-1.14
100,1,1,21,6,2,2,1,1,514,49,38.63,1.4,-4.25
101,1,1,21,6,3,2,1,1,272,28.5,57.94,1.87,-5
102,1,1,21,6,4,2,1,1,443,27.5,38.22,-1.18,-7.75
103,1,1,21,6,5,2,1,1,251,36,37.66,-4.05,-11.6
104,1,1,22,7,1,1,1,2,48,43.33,30.58,-6.43,-14.5
105,1,1,22,7,2,1,1,1,128,42.5,27.76,-6.59,-14.25
106,1,1,22,7,3,1,1,2,292,36,9.25,-4.47,-8
107,1,1,22,7,4,1,1,1,307,29.75,10.46,-2.83,-6.5
108,1,1,22,7,5,1,1,1,206,45.4,10.62,-5.18,-9.2
109,1,1,23,1,1,1,1,1,62,58.67,12.34,-6.43,-11.33
110,1,1,23,1,2,1,1,1,107,55,28.97,-3.53,-10
111,1,1,23,1,3,1,1,1,412,35.25,38.63,-0.95,-7.75
112,1,1,23,1,4,1,1,1,246,27.5,35.81,-1.18,-7.75
113,1,1,23,1,5,1,1,1,159,36.2,24.78,-3.68,-9.6
114,1,1,24,2,1,2,1,1,30,45.83,17.97,-6.43,-12.33
115,1,1,24,2,2,2,1,1,403,45,0,-5.42,-7
116,1,1,24,2,3,2,1,2,214,44.25,20.92,-2.12,-7.25
117,1,1,24,2,4,2,1,1,464,49,23.33,-0.95,-6.5
118,1,1,24,2,5,2,1,1,305,60.6,21.57,-1.23,-6.4
119,1,1,25,3,1,2,1,1,62,71.5,19.85,-0.79,-5.67
120,1,1,25,3,2,2,1,2,545,68,14.89,0.7,-2.75
121,1,1,25,3,3,2,1,2,328,54.25,9.66,4.46,2.75
122,1,1,25,3,4,2,1,2,647,44.5,2.42,6.57,6.25
123,1,1,25,3,5,2,1,1,403,64.6,18.99,3.09,-0.6
124,1,1,26,4,1,2,1,3,41,75,22.21,2.15,-2
125,1,1,26,4,2,2,1,3,188,88.5,31.78,2.34,-2
126,1,1,26,4,3,2,1,3,172,93,36.21,2.34,-3
127,1,1,26,4,4,2,1,3,105,93,41.31,2.03,-3.67
128,1,1,27,5,4,2,1,1,212,59.67,13.95,2.03,-0.67
129,1,1,27,5,5,2,1,1,219,74.2,11.27,0.65,-2
130,1,1,28,6,1,2,1,2,35,76.67,13.95,1.09,-2
131,1,1,28,6,2,2,1,2,367,86,10.06,-0.01,-2.5
132,1,1,28,6,3,2,1,3,128,89.75,8.45,0.93,-1
133,1,1,28,6,4,2,1,1,379,79,8.85,2.57,0.5
134,1,1,28,6,5,2,1,2,258,69,22.53,3.09,-1
135,1,1,29,7,1,1,1,1,76,64.83,19.58,1.24,-2.5
136,1,1,29,7,2,1,1,1,128,59.25,12.48,0.22,-2.75
137,1,1,29,7,3,1,1,2,306,59.5,16.9,1.63,-2
138,1,1,29,7,4,1,1,1,386,64.5,14.89,2.81,0
139,1,1,29,7,5,1,1,1,202,75.4,13.2,0.46,-2.4
140,1,1,30,1,1,1,1,1,85,85.33,1.88,-1.11,-2.17
141,1,1,30,1,2,1,1,2,117,83,0,-0.71,-1.25
142,1,1,30,1,3,1,1,1,362,62.25,8.05,4.69,3.5
143,1,1,30,1,4,1,1,1,374,58.25,9.66,5.63,4
144,1,1,30,1,5,1,1,2,158,67,20.28,3.66,-0
145,1,1,31,2,1,2,1,1,64,64.14,26.21,1.67,-2.86
146,1,1,31,2,2,2,1,2,438,60.25,28.57,-0.48,-6.75
147,1,1,31,2,3,2,1,2,256,57,11.67,-0.01,-3
148,1,1,31,2,4,2,1,2,447,57.25,20.11,-0.48,-5
149,1,1,31,2,5,2,1,3,296,60.4,11.91,0.84,-2
150,1,2,1,3,1,2,1,2,40,76.17,3.76,-0.79,-2.33
151,1,2,1,3,2,2,1,3,350,93,0,-0.48,-1
152,1,2,1,3,3,2,1,2,212,84.5,2.42,1.4,0.75
153,1,2,1,3,4,2,1,2,460,76.5,6.44,3.28,1.75
154,1,2,1,3,5,2,1,2,298,87,14.8,2.34,-0.8
155,1,2,2,4,1,2,1,3,32,93,16.32,2.34,-0.71
156,1,2,2,4,2,2,1,3,388,94.75,14.49,2.57,-0.25
157,1,2,2,4,3,2,1,2,254,90.25,26.15,6.1,3.5
158,1,2,2,4,4,2,1,1,551,60.5,45.87,8.92,6
159,1,2,2,4,5,2,1,1,301,45.6,44.74,2.9,-2.6
160,1,2,3,5,1,2,1,1,61,43.83,38.36,0.46,-5.83
161,1,2,3,5,2,2,1,1,460,47.5,35.41,-0.71,-7.25
162,1,2,3,5,3,2,1,1,231,40,43.45,1.4,-4.75
163,1,2,3,5,4,2,1,1,460,38.5,25.35,1.87,-2.5
164,1,2,3,5,5,2,1,1,338,48,8.37,1.02,-1
165,1,2,4,6,1,2,1,2,57,57.83,6.17,-0.64,-2.83
166,1,2,4,6,2,2,1,1,485,66,10.86,-0.48,-3.5
167,1,2,4,6,3,2,1,2,323,48.5,19.31,3.75,0.5
168,1,2,4,6,4,2,1,2,549,51.5,19.31,4.69,2
169,1,2,4,6,5,2,1,2,294,67,16.42,3.28,-0
170,1,2,5,7,1,1,1,2,106,82.57,13.57,2.61,-0.14
171,1,2,5,7,2,1,1,3,68,98.25,10.87,1.64,-0.75
172,1,2,5,7,3,1,1,3,226,100,12.47,2.34,-0.25
173,1,2,5,7,4,1,1,3,292,98.25,23.34,3.28,-0.25
174,1,2,5,7,5,1,1,1,313,93.2,27.04,4.78,1.4
175,1,2,6,1,1,1,1,1,120,62.14,28.28,4.22,0.43
176,1,2,6,1,2,1,1,1,165,59.5,16.9,4.46,1.75
177,1,2,6,1,3,1,1,1,634,46.75,9.25,7.74,6.25
178,1,2,6,1,4,1,1,1,538,49.25,9.66,7.51,6.5
179,1,2,6,1,5,1,1,1,166,61.4,5.15,4.41,3.4
180,1,2,7,2,1,2,1,1,66,81.57,0,1.67,1.29
181,1,2,7,2,2,2,1,1,498,85.25,2.82,1.4,0.5
182,1,2,7,2,3,2,1,2,237,60.25,7.25,7.74,7
183,1,2,7,2,4,2,1,2,555,61.75,14.08,8.45,7
184,1,2,7,2,5,2,1,2,356,74.4,4.19,6.48,6
185,1,2,8,3,1,2,1,2,61,86.29,16.79,4.62,1.86
186,1,2,8,3,2,2,1,1,526,55,52.7,3.04,-3.25
187,1,2,8,3,3,2,1,1,229,38.5,49.09,2.81,-3.25
188,1,2,8,3,4,2,1,1,462,33.5,50.7,2.1,-3.75
189,1,2,8,3,5,2,1,1,252,35.8,41.85,-1.42,-8.4
190,1,2,9,4,1,2,1,1,79,40.83,19.85,-4.4,-9.5
191,1,2,9,4,2,2,1,1,480,41.5,7.24,-3.06,-6.75
192,1,2,9,4,3,2,1,2,229,39.25,25.35,0.22,-4.75
193,1,2,9,4,4,2,1,2,479,38,29.37,1.17,-3.75
194,1,2,9,4,5,2,1,3,338,83.6,20.28,-1.04,-6.2
195,1,2,10,5,1,2,1,3,59,68.17,21.46,-1.73,-7
196,1,2,10,5,2,2,1,1,434,45.75,37.82,-2.83,-10
197,1,2,10,5,3,2,1,1,224,32.25,35.81,-0.01,-6
198,1,2,10,5,4,2,1,1,455,26.5,23.74,0.7,-3.75
199,1,2,10,5,5,2,1,1,366,35.8,6.44,-1.8,-4
200,1,2,11,6,1,2,1,1,52,57.6,8.05,-3.49,-6.6
201,1,2,11,6,2,2,1,1,474,72.5,15.69,-2.83,-7
202,1,2,11,6,3,2,1,1,329,38.75,19.31,3.51,0
203,1,2,11,6,4,2,1,1,584,25.25,9.66,6.1,4.75
204,1,2,11,6,5,2,1,1,307,56,7.72,1.96,-0
205,1,2,12,7,1,1,1,1,86,79.43,7.13,-1.82,-3.86
206,1,2,12,7,2,1,1,1,168,67.75,16.9,-0.48,-4.5
207,1,2,12,7,3,1,1,1,489,34.25,40.24,6.57,2.75
208,1,2,12,7,4,1,1,1,520,31.75,45.46,7.04,3
209,1,2,12,7,5,1,1,1,209,43,13.2,3.84,1.4
210,1,2,13,1,1,1,1,2,102,67.5,12.34,1.4,-1.33
211,1,2,13,1,2,1,1,2,167,56,20.12,3.51,0.5
212,1,2,13,1,3,1,1,1,579,32.5,45.46,9.16,7.25
213,1,2,13,1,4,1,1,2,516,29.5,33.8,11.27,11.5
214,1,2,13,1,5,1,1,1,225,35,35.08,10.8,11
215,1,2,14,2,1,2,1,1,53,44.57,32.42,8.38,6.14
216,1,2,14,2,2,2,1,1,539,39,37.02,10.33,9.5
217,1,2,14,2,3,2,1,1,389,19.75,42.65,18.56,19.75
218,1,2,14,2,4,2,1,1,656,30.25,63.16,14.8,15.25
219,1,2,14,2,5,2,1,1,276,46.8,56.65,8.54,5.2
220,1,2,15,3,1,2,1,1,62,38.83,57.4,3.91,-1.83
221,1,2,15,3,2,2,1,1,490,30,39.03,2.1,-3.25
222,1,2,15,3,3,2,1,1,289,22.25,25.75,6.1,2.75
223,1,2,15,3,4,2,1,1,601,20.5,20.92,7.28,4.75
224,1,2,15,3,5,2,1,1,373,39.8,7.08,3.66,2.4
225,1,2,16,4,1,2,1,1,64,47.5,17.7,1.56,-2
226,1,2,16,4,2,2,1,2,531,50.75,28.57,2.81,-1.75
227,1,2,16,4,3,2,1,1,327,31,37.82,10.8,10
228,1,2,16,4,4,2,1,1,716,31.75,35.41,12.91,13.25
229,1,2,16,4,5,2,1,1,477,47,22.21,8.92,7.6
230,1,2,17,5,1,2,1,1,96,57.86,19.31,7.44,5.28
231,1,2,17,5,2,2,1,1,678,56.25,15.69,8.21,7.25
232,1,2,17,5,3,2,1,1,395,37.5,24.95,16.21,17.75
233,1,2,17,5,4,2,1,2,748,34.25,30.58,18.79,20.25
234,1,2,17,5,5,2,1,1,558,59,35.09,14.94,15.4
235,1,2,18,6,1,2,1,1,113,69.86,24.14,13.08,13.43
236,1,2,18,6,2,2,1,2,652,75.75,22.53,11.97,12.25
237,1,2,18,6,3,2,1,1,665,52.5,22.93,17.85,19.75
238,1,2,18,6,4,2,1,1,955,34.75,35.01,22.78,25
239,1,2,18,6,5,2,1,1,542,19.8,38.94,18.88,21
240,1,2,19,7,1,1,1,1,96,14.29,41.15,12.14,12.43
241,1,2,19,7,2,1,1,1,228,16.5,63.17,10.56,10.75
242,1,2,19,7,3,1,1,1,593,16.25,63.16,12.91,13.25
243,1,2,19,7,4,1,1,1,506,19,65.98,11.5,10.75
244,1,2,19,7,5,1,1,1,212,28.8,51.18,6.66,2
245,1,2,20,1,1,1,1,1,71,42,51.5,2.81,-3.33
246,1,2,20,1,2,1,1,1,185,47.5,22.53,2.1,-1.75
247,1,2,20,1,3,1,1,1,753,30.5,11.67,7.27,5.5
248,1,2,20,1,4,1,1,1,562,31.25,12.88,8.45,7.25
249,1,2,20,1,5,1,1,2,241,49.8,11.27,7.23,5.8
250,1,2,21,2,1,1,2,2,71,39.29,26.9,8.38,5.86
251,1,2,21,2,2,1,2,2,220,49.25,30.18,8.21,6
252,1,2,21,2,3,1,2,2,402,70,23.74,6.8,4.25
253,1,2,21,2,4,1,2,2,289,76.75,43.45,4.93,0.25
254,1,2,21,2,5,1,2,3,125,78.6,43.78,2.34,-3.4
255,1,2,22,3,1,2,1,2,7,80,30.58,-2.36,-8
256,1,2,22,3,2,2,1,2,304,75.75,21.32,-1.65,-7
257,1,2,22,3,3,2,1,1,218,58.25,12.47,1.4,-1
258,1,2,22,3,4,2,1,1,518,49.25,19.31,2.57,-1.25
259,1,2,22,3,5,2,1,1,403,45.4,27.36,0.65,-4.4
260,1,2,23,4,1,2,1,1,57,49.33,15.56,-2.05,-6.33
261,1,2,23,4,2,2,1,1,521,49.75,10.46,-0.48,-3.25
262,1,2,23,4,3,2,1,1,301,33.25,10.46,5.16,3.75
263,1,2,23,4,4,2,1,1,597,25.25,7.25,7.75,7
264,1,2,23,4,5,2,1,1,441,48.8,5.47,3.66,2.6
265,1,2,24,5,1,2,1,1,86,63.5,13.14,1.71,-1
266,1,2,24,5,2,2,1,1,550,71.75,26.96,3.04,-1.5
267,1,2,24,5,3,2,1,2,331,53.5,36.21,9.16,7.5
268,1,2,24,5,4,2,1,3,448,67.25,32.19,9.39,8
269,1,2,24,5,5,2,1,2,392,90.6,32.19,7.79,4.2
270,1,2,25,6,1,2,1,2,41,95.33,5.37,7.2,6.67
271,1,2,25,6,2,2,1,3,271,95,25.75,9.15,7.25
272,1,2,25,6,3,2,1,3,342,63.25,53.51,17.38,18
273,1,2,25,6,4,2,1,1,503,47,67.59,8.69,5.5
274,1,2,25,6,5,2,1,1,304,49,47.96,5.16,0.2
275,1,2,26,7,1,1,1,1,94,57.57,18.16,2.61,-0.57
276,1,2,26,7,2,1,1,2,238,56.25,10.46,3.98,2.25
277,1,2,26,7,3,1,1,2,671,42,20.12,7.28,5
278,1,2,26,7,4,1,1,1,656,43.75,26.55,8.68,6.25
279,1,2,26,7,5,1,1,1,310,64,25.43,5.72,2.6
280,1,2,27,1,1,1,1,1,109,87,15.02,3.91,1.5
281,1,2,27,1,2,1,1,1,211,85.5,10.46,4.69,3
282,1,2,27,1,3,1,1,1,859,52.5,8.45,11.04,10.75
283,1,2,27,1,4,1,1,1,843,49,18.51,12.68,13
284,1,2,27,1,5,1,1,1,380,58.8,14.16,10.05,9.8
285,1,2,28,2,1,2,1,2,72,87,15.77,7.98,6.4
286,1,2,28,2,2,2,1,2,581,85,31.78,11.27,10.25
287,1,2,28,2,3,2,1,2,180,80.5,30.18,15.5,16
288,1,2,28,2,4,2,1,3,287,98.5,24.94,11.98,12.25
289,1,2,28,2,5,2,1,3,326,87.4,52.14,10.05,8.6
290,1,3,1,3,1,2,1,1,65,66.57,35.87,3.01,-1.86
291,1,3,1,3,2,2,1,1,513,56.25,38.22,2.1,-3.25
292,1,3,1,3,3,2,1,1,299,39.75,14.08,6.34,4.75
293,1,3,1,3,4,2,1,1,632,35.25,10.06,7.75,6.75
294,1,3,1,3,5,2,1,1,342,58.6,11.91,4.6,2.8
295,1,3,2,4,1,2,1,1,64,67.86,22.3,2.21,-1.57
296,1,3,2,4,2,2,1,1,590,58.5,30.18,4.46,0.25
297,1,3,2,4,3,2,1,1,376,36,22.13,12.68,12
298,1,3,2,4,4,2,1,1,718,21,41.04,15.97,16.5
299,1,3,2,4,5,2,1,1,386,28.4,53.43,7.6,3.8
300,1,3,3,5,1,2,1,1,62,30.14,45.29,0.86,-5.71
301,1,3,3,5,2,2,1,1,532,36.75,32.19,-0.95,-7.25
302,1,3,3,5,3,2,1,1,280,25,11.27,2.34,0
303,1,3,3,5,4,2,1,1,508,25.75,8.85,3.75,2.25
304,1,3,3,5,5,2,1,1,303,40.6,11.59,1.02,-1.4
305,1,3,4,6,1,2,1,2,56,68.43,19.31,0.33,-3.86
306,1,3,4,6,2,2,1,1,527,68.5,17.7,1.4,-2.25
307,1,3,4,6,3,2,1,1,368,44.25,24.14,7.28,4.25
308,1,3,4,6,4,2,1,1,639,47.25,28.16,8.68,5.75
309,1,3,4,6,5,2,1,2,354,69.2,22.21,6.29,3.4
310,1,3,5,7,1,1,1,2,74,89.86,17.24,5.97,3.57
311,1,3,5,7,2,1,1,2,226,96.5,27.36,6.81,3.5
312,1,3,5,7,3,1,1,2,714,67.25,28.16,12.91,13.25
313,1,3,5,7,4,1,1,2,725,60,34.6,14.32,14.75
314,1,3,5,7,5,1,1,2,338,74,34.12,12.68,13
315,1,3,6,1,1,1,1,2,139,83.33,34.87,11.58,11.83
316,1,3,6,1,2,1,1,2,67,100,35.81,11.5,11.75
317,1,3,6,1,3,1,1,2,285,97,30.58,12.92,13.25
318,1,3,6,1,4,1,1,3,66,100,31.38,9.15,6.5
319,1,3,6,1,5,1,1,3,48,98.6,50.21,3.84,-1.8
320,1,3,7,2,1,2,1,1,43,85,45.06,1.4,-4.67
321,1,3,7,2,2,2,1,1,494,68.5,42.25,2.1,-3.75
322,1,3,7,2,3,2,1,1,303,40.5,45.06,6.1,1.5
323,1,3,7,2,4,2,1,1,684,30.5,35.81,7.75,4
324,1,3,7,2,5,2,1,1,348,40,16.74,5.35,3
325,1,3,8,3,1,2,1,1,79,56.57,8.51,2.74,0.86
326,1,3,8,3,2,2,1,1,607,48.25,18.51,3.28,0
327,1,3,8,3,3,2,1,2,347,23.25,7.24,9.39,9
328,1,3,8,3,4,2,1,1,703,24.75,15.69,8.92,8
329,1,3,8,3,5,2,1,1,397,45.8,17.38,6.48,4.2
330,1,3,9,4,1,2,1,1,77,68.57,12.19,3.68,1.43
331,1,3,9,4,2,2,1,2,588,84,21.72,4.22,0.75
332,1,3,9,4,3,2,1,2,327,76,35,7.28,3.5
333,1,3,9,4,4,2,1,2,573,74.75,31.78,8.21,4.75
334,1,3,9,4,5,2,1,2,326,88.4,26.07,7.42,4.8
335,1,3,10,5,1,2,1,3,21,0,27.68,8.36,5.6
336,1,3,10,5,2,2,1,3,122,0,24.14,10.33,10.5
337,1,3,10,5,3,2,1,3,69,0,26.96,11.74,12
338,1,3,10,5,4,2,1,3,228,0,32.99,12.44,12.75
339,1,3,10,5,5,2,1,3,183,0,29.29,9.3,7.8
340,1,3,11,6,1,2,1,3,60,92.5,16.1,6.88,5
341,1,3,11,6,2,2,1,1,607,64.5,27.76,5.63,2.5
342,1,3,11,6,3,2,1,2,388,53.25,31.38,8.21,5.25
343,1,3,11,6,4,2,1,2,574,50,29.77,7.75,4.5
344,1,3,11,6,5,2,1,1,348,53.6,25.11,6.1,3.2
345,1,3,12,7,1,1,1,1,80,66.29,22.76,3.15,-0.71
346,1,3,12,7,2,1,1,1,276,66.5,18.51,4.93,1.75
347,1,3,12,7,3,1,1,1,600,50.75,38.22,8.92,6.5
348,1,3,12,7,4,1,1,1,784,45.75,38.63,12.68,13
349,1,3,12,7,5,1,1,1,392,62.2,6.12,10.24,10.4
350,1,3,13,1,1,1,1,1,112,66.33,12.07,8.61,7.33
351,1,3,13,1,2,1,1,1,210,52.25,31.38,10.56,10.25
352,1,3,13,1,3,1,1,1,846,39.5,40.24,13.39,13.75
353,1,3,13,1,4,1,1,1,948,41,38.63,12.91,13.25
354,1,3,13,1,5,1,1,1,301,56.8,31.54,6.48,3.2
355,1,3,14,2,1,2,1,1,52,65.83,12.34,4.06,2
356,1,3,14,2,2,2,1,2,553,53,19.31,6.57,4.5
357,1,3,14,2,3,2,1,1,319,36.75,15.69,9.62,9
358,1,3,14,2,4,2,1,1,714,38,15.29,9.86,9.75
359,1,3,14,2,5,2,1,1,408,47.4,12.87,7.79,6.2
360,1,3,15,3,1,2,1,1,75,67.83,11.8,4.69,2.33
361,1,3,15,3,2,2,1,1,636,70.25,12.07,5.16,3.5
362,1,3,15,3,3,2,1,2,365,52.5,27.76,8.92,7
363,1,3,15,3,4,2,1,2,646,53.25,29.77,9.39,8.25
364,1,3,15,3,5,2,1,2,334,79.4,21.57,7.42,5.2
365,1,3,16,4,1,2,1,2,49,95.33,20.65,5.94,3.5
366,1,3,16,4,2,2,1,2,586,90,13.28,7.27,5.25
367,1,3,16,4,3,2,1,2,362,76,16.09,10.33,10
368,1,3,16,4,4,2,1,2,742,65,25.35,11.74,12
369,1,3,16,4,5,2,1,2,453,58,32.19,11.55,11.8
370,1,3,17,5,1,2,1,1,112,71,22.07,8.11,6.28
371,1,3,17,5,2,2,1,1,702,64.5,22.93,9.86,9.25
372,1,3,17,5,3,2,1,1,421,46.5,18.91,15.03,15.5
373,1,3,17,5,4,2,1,1,890,47.75,24.14,15.27,15.75
374,1,3,17,5,5,2,1,1,619,63,24.78,11.74,12
375,1,3,18,6,1,2,1,1,110,64.17,23.07,10.49,10.33
376,1,3,18,6,2,2,1,1,730,62.25,25.75,13.15,13.5
377,1,3,18,6,3,2,1,1,703,45.25,31.78,20.2,21.75
378,1,3,18,6,4,2,1,1,1040,38.5,30.58,24.2,26
379,1,3,18,6,5,2,1,1,656,47.8,16.42,21.33,25
380,1,3,19,7,1,1,1,2,175,41.86,37.24,17.25,18.43
381,1,3,19,7,2,1,1,1,277,44.75,45.87,11.74,12
382,1,3,19,7,3,1,1,1,1076,33.5,49.09,14.56,15
383,1,3,19,7,4,1,1,1,1112,30.5,39.43,14.8,15.25
384,1,3,19,7,5,1,1,1,477,36.4,30.9,11.18,11.4
385,1,3,20,1,1,1,1,1,122,55.14,30.12,5.56,2.14
386,1,3,20,1,2,1,1,1,265,53.25,14.08,5.4,3
387,1,3,20,1,3,1,1,1,913,35.75,5.63,9.39,9
388,1,3,20,1,4,1,1,1,914,34.75,19.72,10.8,11
389,1,3,20,1,5,1,1,1,257,51.2,33.8,8.36,5
390,2,3,21,2,1,2,1,2,61,72.67,35.68,7.67,4
